"DS_SIT_ALU","aluno","DT_SIT_ALU","CD_ANO_INGRESSO","CD_SEM_INGRESSO","CD_ANO_ENS_MEDIO","CD_SEXO","DS_BAIRRO","DS_CIDADE","DS_ESTADO","LO_ProvavelConcludente","DEFICIENCIA","COR_RACA","num_idade","BOLSA_CONTA_BANCO_ID","BOLSAS_COTA_PRIORIDADE","N_COLOCA","N_TOTESC","N_NOTRED"
CURSANDO,271,2018-07-12 00:00:00.000,"2018","1","2017","1",ALDEOTA                       ,FORTALEZA                     ,CE,1,"0",1,23,237,99,64,90.0,54.6177
TRANSFERIDO,272,2022-07-28 00:00:00.000,"2018","1","2017","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",1,22,,99,8,80.0,58.4379
CURSANDO,273,2018-12-04 11:23:48.167,"2018","2","2001","1",PARQUE DOIS IRMAOS            ,FORTALEZA                     ,CE,0,"0",3,39,,99,,,
CURSANDO,274,2018-12-04 00:00:00.000,"2018","2","2011","1",JARDIM GUANABARA              ,FORTALEZA                     ,CE,0,"0",1,37,,99,,,
CURSANDO,275,2018-12-06 00:00:00.000,"2018","2","1998","1",VILA PERY                     ,FORTALEZA                     ,CE,0,"0",3,46,237,99,,,
CURSANDO,276,2018-12-13 00:00:00.000,"2018","2","2017","1",MESSEJANA                     ,FORTALEZA                     ,CE,0,"0",3,24,237,2,1,80.0,69.5339
ABANDONO,277,2023-08-28 15:26:00.000,"2018","2","2017","1",JOQUEI CLUB                   ,FORTALEZA                     ,CE,0,"0",3,23,,3,2,52.0,64.4207
ABANDONO,278,2023-08-28 15:26:00.000,"2018","2","2018","1",BARRA DO CEARA                ,FORTALEZA                     ,CE,0,"0",3,23,,2,3,34.0,68.9657
CURSANDO,279,2018-12-13 00:00:00.000,"2018","2","2016","1",ITAPERI                       ,FORTALEZA                     ,CE,0,"0",1,25,1,99,12,104.0,63.8526
DESISTENTE,280,2019-01-29 00:00:00.000,"2018","2","2015","2",PASSARE                       ,FORTALEZA                     ,CE,0,"0",1,26,,99,13,92.0,74.0789
CURSANDO,281,2023-11-08 00:00:00.000,"2018","2","2017","1",ITAOCA                        ,FORTALEZA                     ,CE,0,"0",1,23,,99,15,94.0,73.5108
DESISTENTE,282,2020-03-06 00:00:00.000,"2018","2","2018","2",PRESIDENTE KENNEDY            ,FORTALEZA                     ,CE,0,"0",1,23,,99,18,74.0,75.2151
ABANDONO,283,2023-08-28 15:26:00.000,"2018","2","2015","1",FATIMA                        ,FORTALEZA                     ,CE,0,"0",3,25,,99,19,78.0,63.2844
CURSANDO,284,2018-12-13 00:00:00.000,"2018","2","2018","1",ITAPERI                       ,FORTALEZA                     ,CE,0,"0",1,23,237,99,20,90.0,72.3745
DESISTENTE,285,2019-02-11 00:00:00.000,"2018","2","2018","1",ANTONIO BEZERRA               ,FORTALEZA                     ,CE,0,"0",1,23,,99,21,98.0,73.5108
DESISTENTE,286,2019-01-31 00:00:00.000,"2018","2","2018","1",CENTRO                        ,MARANGUAPE                    ,CE,0,"0",1,22,,99,22,88.0,71.2382
CURSANDO,287,2018-12-13 00:00:00.000,"2018","2","2018","1",MONTE CASTELO                 ,FORTALEZA                     ,CE,0,"0",1,22,237,99,24,88.0,72.9426
CURSANDO,288,2018-12-13 00:00:00.000,"2018","2","2011","1",BARRA DO CEARA                ,FORTALEZA                     ,CE,0,"0",3,29,,99,27,78.0,72.3745
CURSANDO,289,2018-12-13 00:00:00.000,"2018","2","2018","1",AUTRAN NUNES                  ,FORTALEZA                     ,CE,0,"0",3,22,,99,28,96.0,63.8526
DESISTENTE,290,2019-02-05 00:00:00.000,"2018","2","2018","1",AMADEU FURTADO                ,FORTALEZA                     ,CE,0,"0",1,22,,99,30,90.0,75.2151
DESISTENTE,291,2019-01-31 00:00:00.000,"2018","2","2018","2",MONTESE                       ,FORTALEZA                     ,CE,0,"0",1,23,,99,34,90.0,70.6701
CURSANDO,292,2018-12-13 00:00:00.000,"2018","2","2018","2",PARANGABA                     ,FORTALEZA                     ,CE,1,"0",1,22,237,99,35,98.0,70.6701
DESISTENTE,293,2019-01-31 00:00:00.000,"2018","2","2018","1",DIONISIO TORRES               ,FORTALEZA                     ,CE,0,"0",1,22,,99,1,92.0,67.8295
DESISTENTE,294,2020-10-20 00:00:00.000,"2018","2","2011","1",VILA VELHA                    ,FORTALEZA                     ,CE,0,"0",1,28,,99,4,72.0,64.9888
DESISTENTE,295,2019-01-29 00:00:00.000,"2018","2","2017","1",CRISTO REDENTOR               ,FORTALEZA                     ,CE,0,"0",2,23,,99,7,86.0,68.9657
ABANDONO,296,2023-08-28 15:26:00.000,"2018","2","2000","1",MARAPONGA                     ,FORTALEZA                     ,CE,0,"0",3,40,,99,8,88.0,68.9657
CURSANDO,297,2018-12-13 00:00:00.000,"2018","2","2017","1",JACARECANGA                   ,FORTALEZA                     ,CE,1,"0",1,24,237,99,10,92.0,64.9888
DESISTENTE,298,2021-04-29 00:00:00.000,"2018","2","2017","1",DEMOCRITO ROCHA               ,FORTALEZA                     ,CE,0,"0",1,23,,99,11,78.0,74.647
CURSANDO,299,2018-12-13 00:00:00.000,"2018","2","2018","1",JOAQUIM TAVORA                ,FORTALEZA                     ,CE,0,"0",1,24,,99,13,72.0,62.1482
TRANSFERIDO,300,2023-01-18 00:00:00.000,"2018","2","2016","2",LUCIANO CAVALCANTE            ,FORTALEZA                     ,CE,0,"0",4,23,,99,14,84.0,68.9657
CURSANDO,301,2023-06-01 00:00:00.000,"2018","2","2018","1",PASSARE                       ,FORTALEZA                     ,CE,0,"0",3,22,,99,15,74.0,70.6701
DESISTENTE,302,2019-07-03 00:00:00.000,"2018","2","2017","2",CANINDEZINHO                  ,FORTALEZA                     ,CE,0,"0",3,23,,99,17,72.0,75.2151
CURSANDO,303,2018-12-13 00:00:00.000,"2018","2","2018","1",PAUPINA                       ,FORTALEZA                     ,CE,0,"0",1,23,,99,23,72.0,73.5108
CURSANDO,304,2018-12-13 00:00:00.000,"2018","2","2016","1",JANGURUSSU                    ,FORTALEZA                     ,CE,0,"0",3,23,,99,26,66.0,62.1482
CURSANDO,305,2018-12-13 00:00:00.000,"2018","2","2013","1",AMADEU FURTADO                ,FORTALEZA                     ,CE,0,"0",1,27,237,99,27,86.0,64.9888
CURSANDO,306,2018-12-13 00:00:00.000,"2018","2","2014","1",ARATURI                       ,CAUCAIA                       ,CE,0,"0",1,26,237,99,29,74.0,66.6932
ABANDONO,307,2023-08-28 15:26:00.000,"2018","2","2018","1",PASSARE                       ,FORTALEZA                     ,CE,0,"0",3,22,,99,30,78.0,71.2382
CURSANDO,308,2018-12-13 00:00:00.000,"2018","2","2018","2",NOVA METROPOLE                ,CAUCAIA                       ,CE,0,"0",1,23,237,99,31,72.0,68.3976
CURSANDO,309,2018-12-13 00:00:00.000,"2018","2","2018","1",VILA PERY                     ,FORTALEZA                     ,CE,0,"0",3,24,,99,32,78.0,68.3976
